elements
COG4992
CBM48
COG0169
COG2115
COG1801
COG0111
COG4320
COG2085
COG3280
COG2814
COG3307
COG3795
COG1028
COG3063
COG3607
COG0805
COG0306
COG3818
COG1216
COG0597
COG1764
COG1021
GH32
COG3419
COG4126
COG0474
COG3656
COG1169
COG0346
COG0607
COG4191
COG0364
COG3189
COG2608
COG5485
COG0246
COG2217
COG5478
COG0209
COG2244
COG0168
COG1273
COG3506
COG1134
COG2197
COG4213
COG0697
COG5463
COG0467
COG1846
COG3254
COG2910
COG0476
COG0050
COG1278
COG4875
COG4130
COG0798
COG1344
COG1231
COG3871
COG0592
COG5616
COG1718
COG4254
COG0289
COG1082
GT73
GH68
COG3240
COG4618
COG1830
COG3602
COG4274
COG2730
COG4641
COG4607
COG1661
COG4976
COG4332
COG1682
COG4188
COG1145
COG3899
COG5554
COG0296
COG1523
COG4322
COG0282
COG4925
COG3531
COG2501
GH127
GH74
COG5361
COG0840
COG0297
COG4297
COG3603
COG3329
COG3268
COG5572
COG4670
COG4994
COG1869
COG0239
COG5429
GH5
COG2945
COG3766
COG0601
COG1115
COG0772
COG0012
COG2847
COG0537
COG4608
COG0841
COG3847
COG1235
COG0280
COG2513
COG0147
COG1346
GH125
COG0598
COG5605
COG5470
COG0404
COG2160
COG2188
GH15
COG3791
COG0524
GH35
COG0682
COG2148
COG3386
COG3146
COG0302
COG0637
COG1314
COG0787
COG2974
COG0820
COG3491
COG0777
COG3237
COG2982
COG1917
COG0708
GH28
COG0718
COG3187
COG1345
COG0235
COG0179
COG4529
COG2010
COG4122
COG3664
COG0045
COG0286
COG0183
COG2898
GH51
COG0294
COG1611
COG0334
COG2057
COG1609
PL1
COG0176
COG4549
COG0837
COG2518
COG0836
COG1157
COG0580
GH39
COG4454
COG2186
COG0059
COG0768
COG0765
COG1488
COG0824
COG1201
COG0705
COG0796
COG3224
COG3151
COG1305
COG0388
COG0501
COG1140
COG4829
COG3450
COG2896
COG2942
COG1752
COG0039
COG1802
COG0210
COG0410
COG0800
COG1843
COG4172
COG4977
COG0560
COG0624
COG0702
COG0460
COG1533
COG1249
GH36
COG1285
COG1309
COG2130
COG0494
COG2222
COG1490
GT5
COG3492
COG1835
COG1520
COG0320
COG2199
COG0491
COG0395
COG3616
COG1335
COG0547
COG1291
COG3946
COG0835
COG0159
COG0215
COG0440
COG0769
COG3023
COG1252
COG2807
COG0569
COG3180
COG2200
COG5477
COG0631
COG0208
COG5460
COG2825
COG0589
COG3812
COG2224
COG3718
COG1925
COG0129
COG0361
COG0656
COG0745
COG0451
COG0305
COG1737
COG1765
COG2423
COG1053
COG1407
COG1840
COG4102
COG1643
COG0672
COG2376
COG3239
COG0405
COG0251
COG0652
COG1396
COG0325
COG1022
COG2169
COG2755
COG0735
COG1544
COG2050
COG0031
COG2017
COG3038
COG3967
COG1807
COG4961
COG1942
GH2
COG3746
COG1486
COG0825
COG2137
COG3211
COG3158
COG2947
COG0402
COG0398
COG0583
COG0421
COG0600
COG3569
COG1113
COG1695
COG1744
COG2721
COG0053
COG0779
COG1937
COG1560
COG0843
COG1704
COG0628
COG4604
COG1946
COG1011
COG1125
COG0746
COG1349
COG0254
COG3703
COG0117
COG0629
GT4
COG1023
COG0121
COG0514
COG1680
COG1392
COG0542
COG1225
COG0175
COG0393
COG0223
COG0642
COG0690
COG2008
COG4544
COG2220
COG1580
COG0252
COG0667
COG0443
COG4251
COG0057
COG2334
COG3594
COG3618
COG1247
COG1512
COG0313
COG1154
COG3358
COG0846
COG1250
GH13
COG4674
COG3734
COG1793
COG1052
COG0177
COG4948
COG5380
COG0604
COG1674
COG0317
COG0688
COG0450
COG1319
COG0625
COG0833
COG5343
COG4625
COG1575
COG1279
COG0008
GH109
COG3131
COG3173
AA1
COG5653
GH1
COG2243
COG1129
COG0778
GH3
COG1703
COG3511
CE1
COG0329
GH43
COG1270
COG1040
COG0815
COG0431
COG0142
COG1063
COG3206
CE14
COG1502
COG1957
COG0687
COG3391
COG2205
COG0666
COG3712
COG0426
COG1324
COG3209
COG1620
COG2801
COG4200
COG3191
COG1876
COG0709
COG2353
COG4922
COG3655
COG0663
COG4932
COG1733
COG0526
COG2388
COG1009
COG0703
COG3638
COG2094
COG4420
COG3258
COG4974
COG5516
COG0633
COG4666
COG4721
COG3473
COG1898
COG1064
